Outlet Name	Street	District	City	Province	Địa chỉ	Google Maps Link
ĐẠI DƯƠNG ( HẢI TIẾN)	Plamingo	Thanh Hoá	Tỉnh Thanh Hóa	Thanh Hóa	Plamingo Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BA%A0I+D%C6%AF%C6%A0NG+%28+H%E1%BA%A2I+TI%E1%BA%BEN%29+Plamingo+T%E1%BB%89nh+Thanh+H%C3%B3a
BIA HOI HOANG CAU	Mai Anh Tuấn	Phường Ô Chợ Dừa	Thành Phố Hà Nội	Hà Nội	Mai Anh Tuấn Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+HOI+HOANG+CAU+Mai+Anh+Tu%E1%BA%A5n+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
NHA HANG THAO NGUYEN 2	CT6 0	Phường Phương Liệt	Thành Phố Hà Nội	Hà Nội	CT6 0 Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=NHA+HANG+THAO+NGUYEN+2+CT6+0+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
QUAN NHAU THANH CONG	287 ĐẶNG TIẾN ĐÔNG	Phường Ô Chợ Dừa	Thành Phố Hà Nội	Hà Nội	287 ĐẶNG TIẾN ĐÔNG Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=QUAN+NHAU+THANH+CONG+287+%C4%90%E1%BA%B6NG+TI%E1%BA%BEN+%C4%90%C3%94NG+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BE THUI19	12 Chuong Dương Độ	Phường Hồng Hà	Thành Phố Hà Nội	Hà Nội	12 Chuong Dương Độ Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BE+THUI19+12+Chuong+D%C6%B0%C6%A1ng+%C4%90%E1%BB%99+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BE THUI HA NOI	Việt Hưng	Phường Phúc Lợi	Thành Phố Hà Nội	Hà Nội	Việt Hưng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BE+THUI+HA+NOI+Vi%E1%BB%87t+H%C6%B0ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA 82	82 dương khue Dương Khuê	Phường Từ Liêm	Thành Phố Hà Nội	Hà Nội	82 dương khue Dương Khuê Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+82+82+d%C6%B0%C6%A1ng+khue+D%C6%B0%C6%A1ng+Khu%C3%AA+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
NHÀ HÀNG 259	Yên Hòa	Phường Yên Hòa	Thành Phố Hà Nội	Hà Nội	Yên Hòa Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=NH%C3%80+H%C3%80NG+259+Y%C3%AAn+H%C3%B2a+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA A2	32C Nguyễn Chí Thanh	Phường Giảng Võ	Thành Phố Hà Nội	Hà Nội	32C Nguyễn Chí Thanh Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+A2+32C+Nguy%E1%BB%85n+Ch%C3%AD+Thanh+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
NHÀ HÀNG THƯỢNG HẢI	Tương Mai	Phường Kim Liên	Thành Phố Hà Nội	Hà Nội	Tương Mai Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=NH%C3%80+H%C3%80NG+TH%C6%AF%E1%BB%A2NG+H%E1%BA%A2I+T%C6%B0%C6%A1ng+Mai+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Dải Nướng Trọng Nghĩa	Đào Duy Tùng		Thành Phố Hà Nội	Hà Nội	Đào Duy Tùng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=D%E1%BA%A3i+N%C6%B0%E1%BB%9Bng+Tr%E1%BB%8Dng+Ngh%C4%A9a+%C4%90%C3%A0o+Duy+T%C3%B9ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
39 Quán Nam	39 Quán Nam	Phường Gia Viên	Thành Phố Hải Phòng	Hải Phòng	39 Quán Nam Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=39+Qu%C3%A1n+Nam+39+Qu%C3%A1n+Nam+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
DƯƠNG HƯƠNG QUÁN	Đào Duy Tùng	Xã Đông Anh	Thành Phố Hà Nội	Hà Nội	Đào Duy Tùng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=D%C6%AF%C6%A0NG+H%C6%AF%C6%A0NG+QU%C3%81N+%C4%90%C3%A0o+Duy+T%C3%B9ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
PHONG NAM QUÁN	Đào Duy Tùng	Xã Đông Anh	Thành Phố Hà Nội	Hà Nội	Đào Duy Tùng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=PHONG+NAM+QU%C3%81N+%C4%90%C3%A0o+Duy+T%C3%B9ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Quán Cay SVLC	Trần Huy Liệu	Giảng Võ	Thành Phố Hà Nội	Hà Nội	Trần Huy Liệu Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n+Cay+SVLC+Tr%E1%BA%A7n+Huy+Li%E1%BB%87u+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Sông Hồng Quán	Lê Minh Khai		Tỉnh Hưng Yên	Hưng Yên	Lê Minh Khai Tỉnh Hưng Yên	https://www.google.com/maps/search/?api=1&query=S%C3%B4ng+H%E1%BB%93ng+Qu%C3%A1n+L%C3%AA+Minh+Khai+T%E1%BB%89nh+H%C6%B0ng+Y%C3%AAn
Quán nhậu 24/7	5 Nguyễn văn năng		Tỉnh Thái Bình	Thái Bình	5 Nguyễn văn năng Tỉnh Thái Bình	https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n+nh%E1%BA%ADu+24%2F7+5+Nguy%E1%BB%85n+v%C4%83n+n%C4%83ng+T%E1%BB%89nh+Th%C3%A1i+B%C3%ACnh
Bia Hơi Thắng Hói	Đỗ Đức Dục	Phường Mễ Trì	Thành Phố Hà Nội	Hà Nội	Đỗ Đức Dục Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Bia+H%C6%A1i+Th%E1%BA%AFng+H%C3%B3i+%C4%90%E1%BB%97+%C4%90%E1%BB%A9c+D%E1%BB%A5c+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Quán Nhậu Phong Vũ	Dọc bún 2 La Khê	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	Dọc bún 2 La Khê Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n+Nh%E1%BA%ADu+Phong+V%C5%A9+D%E1%BB%8Dc+b%C3%BAn+2+La+Kh%C3%AA+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Hiền Thanh	Bãi biển		Tỉnh Hà Tĩnh	Hà Tĩnh	Bãi biển Tỉnh Hà Tĩnh	https://www.google.com/maps/search/?api=1&query=Hi%E1%BB%81n+Thanh+B%C3%A3i+bi%E1%BB%83n+T%E1%BB%89nh+H%C3%A0+T%C4%A9nh
TRI KỸ QUÁN	Nam Sông Mã		Tỉnh Thanh Hóa	Thanh Hóa	Nam Sông Mã Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=TRI+K%E1%BB%B8+QU%C3%81N+Nam+S%C3%B4ng+M%C3%A3+T%E1%BB%89nh+Thanh+H%C3%B3a
QUÁN GIÓ	Nam Sông Mã		Tỉnh Thanh Hóa	Thanh Hóa	Nam Sông Mã Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=QU%C3%81N+GI%C3%93+Nam+S%C3%B4ng+M%C3%A3+T%E1%BB%89nh+Thanh+H%C3%B3a
Hoan thụt	136 Đào Sư Tích		Tỉnh Bắc Giang	Bắc Giang	136 Đào Sư Tích Tỉnh Bắc Giang	https://www.google.com/maps/search/?api=1&query=Hoan+th%E1%BB%A5t+136+%C4%90%C3%A0o+S%C6%B0+T%C3%ADch+T%E1%BB%89nh+B%E1%BA%AFc+Giang
Hiếu béo	Nguyễn Thị Minh Khai		Tỉnh Bắc Giang	Bắc Giang	Nguyễn Thị Minh Khai Tỉnh Bắc Giang	https://www.google.com/maps/search/?api=1&query=Hi%E1%BA%BFu+b%C3%A9o+Nguy%E1%BB%85n+Th%E1%BB%8B+Minh+Khai+T%E1%BB%89nh+B%E1%BA%AFc+Giang
HẢI TÈO	101 Nguyễn Thái Học		Tỉnh Nghệ An	Nghệ An	101 Nguyễn Thái Học Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=H%E1%BA%A2I+T%C3%88O+101+Nguy%E1%BB%85n+Th%C3%A1i+H%E1%BB%8Dc+T%E1%BB%89nh+Ngh%E1%BB%87+An
ẨM THỰC HỒ BẮC	Lê thái tổ		Tỉnh Bắc Ninh	Bắc Ninh	Lê thái tổ Tỉnh Bắc Ninh	https://www.google.com/maps/search/?api=1&query=%E1%BA%A8M+TH%E1%BB%B0C+H%E1%BB%92+B%E1%BA%AEC+L%C3%AA+th%C3%A1i+t%E1%BB%95+T%E1%BB%89nh+B%E1%BA%AFc+Ninh
DŨNG TRỌC QUÁN	Ba Huyện		Tỉnh Bắc Ninh	Bắc Ninh	Ba Huyện Tỉnh Bắc Ninh	https://www.google.com/maps/search/?api=1&query=D%C5%A8NG+TR%E1%BB%8CC+QU%C3%81N+Ba+Huy%E1%BB%87n+T%E1%BB%89nh+B%E1%BA%AFc+Ninh
Teen deer	269 Quán Nam	Phường Gia Viên	Thành Phố Hải Phòng	Hải Phòng	269 Quán Nam Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=Teen+deer+269+Qu%C3%A1n+Nam+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
1985 Beer	Đình Tràng	Phường Hà Nam	Tỉnh Hà Nam	Hà Nam	Đình Tràng Tỉnh Hà Nam	https://www.google.com/maps/search/?api=1&query=1985+Beer+%C4%90%C3%ACnh+Tr%C3%A0ng+T%E1%BB%89nh+H%C3%A0+Nam
DÊ TƯƠI AN PHÚC	Đường 2.4 kđt gamuda		Thành Phố Hà Nội	Hà Nội	Đường 2.4 kđt gamuda Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=D%C3%8A+T%C6%AF%C6%A0I+AN+PH%C3%9AC+%C4%90%C6%B0%E1%BB%9Dng+2.4+k%C4%91t+gamuda+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Khợp Quán	129 Quán Nam	Phường Gia Viên	Thành Phố Hải Phòng	Hải Phòng	129 Quán Nam Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=Kh%E1%BB%A3p+Qu%C3%A1n+129+Qu%C3%A1n+Nam+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
QUÁN LÃ BỐ	Cát Linh		Tỉnh Ninh Bình	Ninh Bình	Cát Linh Tỉnh Ninh Bình	https://www.google.com/maps/search/?api=1&query=QU%C3%81N+L%C3%83+B%E1%BB%90+C%C3%A1t+Linh+T%E1%BB%89nh+Ninh+B%C3%ACnh
Hùng Anh	SN 06 Ngõ 44,Đường Đinh Tất Miễn,Phố 12	Đông Thành	Tỉnh Ninh Bình	Ninh Bình	SN 06 Ngõ 44,Đường Đinh Tất Miễn,Phố 12 Tỉnh Ninh Bình	https://www.google.com/maps/search/?api=1&query=H%C3%B9ng+Anh+SN+06+Ng%C3%B5+44%2C%C4%90%C6%B0%E1%BB%9Dng+%C4%90inh+T%E1%BA%A5t+Mi%E1%BB%85n%2CPh%E1%BB%91+12+T%E1%BB%89nh+Ninh+B%C3%ACnh
LƯƠNG SƠN BẠC	Nguyễn Hoành Từ		Tỉnh Hà Tĩnh	Hà Tĩnh	Nguyễn Hoành Từ Tỉnh Hà Tĩnh	https://www.google.com/maps/search/?api=1&query=L%C6%AF%C6%A0NG+S%C6%A0N+B%E1%BA%A0C+Nguy%E1%BB%85n+Ho%C3%A0nh+T%E1%BB%AB+T%E1%BB%89nh+H%C3%A0+T%C4%A9nh
Quý Cháy	Phú Đô		Thành Phố Hà Nội	Hà Nội	Phú Đô Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Qu%C3%BD+Ch%C3%A1y+Ph%C3%BA+%C4%90%C3%B4+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA HƠI ĐỊNH NGUYỆT	Nguyễn Văn Lộc		Thành Phố Hà Nội	Hà Nội	Nguyễn Văn Lộc Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+H%C6%A0I+%C4%90%E1%BB%8ANH+NGUY%E1%BB%86T+Nguy%E1%BB%85n+V%C4%83n+L%E1%BB%99c+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
THẠCH HỒNG	Khu Ẩm Thực Cửa Hội Ven Sông Lam		Tỉnh Nghệ An	Nghệ An	Khu Ẩm Thực Cửa Hội Ven Sông Lam Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=TH%E1%BA%A0CH+H%E1%BB%92NG+Khu+%E1%BA%A8m+Th%E1%BB%B1c+C%E1%BB%ADa+H%E1%BB%99i+Ven+S%C3%B4ng+Lam+T%E1%BB%89nh+Ngh%E1%BB%87+An
TỰ DZO	Lý Thường Kiệt Kéo Dài Lý Thường Kiệt		Tỉnh Nghệ An	Nghệ An	Lý Thường Kiệt Kéo Dài Lý Thường Kiệt Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=T%E1%BB%B0+DZO+L%C3%BD+Th%C6%B0%E1%BB%9Dng+Ki%E1%BB%87t+K%C3%A9o+D%C3%A0i+L%C3%BD+Th%C6%B0%E1%BB%9Dng+Ki%E1%BB%87t+T%E1%BB%89nh+Ngh%E1%BB%87+An
Bia Phủi	3 HỒNG ĐÔ		Thành Phố Hà Nội	Hà Nội	3 HỒNG ĐÔ Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Bia+Ph%E1%BB%A7i+3+H%E1%BB%92NG+%C4%90%C3%94+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Trâu Minh Hằng	Hai Bà Trưng		Tỉnh Bắc Ninh	Bắc Ninh	Hai Bà Trưng Tỉnh Bắc Ninh	https://www.google.com/maps/search/?api=1&query=Tr%C3%A2u+Minh+H%E1%BA%B1ng+Hai+B%C3%A0+Tr%C6%B0ng+T%E1%BB%89nh+B%E1%BA%AFc+Ninh
NH Hồ Quang	79/112 Lê Công Thanh	Lê Công Thanh	Tỉnh Hà Nam	Hà Nam	79/112 Lê Công Thanh Tỉnh Hà Nam	https://www.google.com/maps/search/?api=1&query=NH+H%E1%BB%93+Quang+79%2F112+L%C3%AA+C%C3%B4ng+Thanh+T%E1%BB%89nh+H%C3%A0+Nam
Zô Đê	96 Nguyễn Huy Tưởng		Thành Phố Hà Nội	Hà Nội	96 Nguyễn Huy Tưởng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Z%C3%B4+%C4%90%C3%AA+96+Nguy%E1%BB%85n+Huy+T%C6%B0%E1%BB%9Fng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Tam Giác Quán	Đỗ Nhuận		Thành Phố Hà Nội	Hà Nội	Đỗ Nhuận Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Tam+Gi%C3%A1c+Qu%C3%A1n+%C4%90%E1%BB%97+Nhu%E1%BA%ADn+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
KHÔNG SỢ VỢ	Nguyễn Thiếp		Tỉnh Thanh Hóa	Thanh Hóa	Nguyễn Thiếp Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=KH%C3%94NG+S%E1%BB%A2+V%E1%BB%A2+Nguy%E1%BB%85n+Thi%E1%BA%BFp+T%E1%BB%89nh+Thanh+H%C3%B3a
Bia Hùng Lâm	KDTM Đại Kim	KĐTM Đại Kim	Thành Phố Hà Nội	Hà Nội	KDTM Đại Kim Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Bia+H%C3%B9ng+L%C3%A2m+KDTM+%C4%90%E1%BA%A1i+Kim+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Chuông Beer	Lê Văn Thiêm	Ngõ 1 Lê Văn Thiêm	Thành Phố Hà Nội	Hà Nội	Lê Văn Thiêm Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Chu%C3%B4ng+Beer+L%C3%AA+V%C4%83n+Thi%C3%AAm+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
CỬU A BẢO	23/38 Nguyễn Thiếp		Tỉnh Thanh Hóa	Thanh Hóa	23/38 Nguyễn Thiếp Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=C%E1%BB%ACU+A+B%E1%BA%A2O+23%2F38+Nguy%E1%BB%85n+Thi%E1%BA%BFp+T%E1%BB%89nh+Thanh+H%C3%B3a
DŨNG ĐỆ	104 Hải Thượng Lãn Ông		Tỉnh Nghệ An	Nghệ An	104 Hải Thượng Lãn Ông Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=D%C5%A8NG+%C4%90%E1%BB%86+104+H%E1%BA%A3i+Th%C6%B0%E1%BB%A3ng+L%C3%A3n+%C3%94ng+T%E1%BB%89nh+Ngh%E1%BB%87+An
BIA CỎ BỐ VỆ	Nguyễn Như Lãm		Tỉnh Thanh Hóa	Thanh Hóa	Nguyễn Như Lãm Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=BIA+C%E1%BB%8E+B%E1%BB%90+V%E1%BB%86+Nguy%E1%BB%85n+Nh%C6%B0+L%C3%A3m+T%E1%BB%89nh+Thanh+H%C3%B3a
HỒ ĐIỀU HÒA	Phong Phú	TP Vinh	Tỉnh Nghệ An	Nghệ An	Phong Phú Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=H%E1%BB%92+%C4%90I%E1%BB%80U+H%C3%92A+Phong+Ph%C3%BA+T%E1%BB%89nh+Ngh%E1%BB%87+An
Bia hơi Huân Lụa	78 dương khuê Dương Khuê	Dương Khuê, Từ Liêm	Thành Phố Hà Nội	Hà Nội	78 dương khuê Dương Khuê Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Bia+h%C6%A1i+Hu%C3%A2n+L%E1%BB%A5a+78+d%C6%B0%C6%A1ng+khu%C3%AA+D%C6%B0%C6%A1ng+Khu%C3%AA+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Bia Thành Bếp	Triệu Quang Phục	Phường Phố Hiến	Tỉnh Hưng Yên	Hưng Yên	Triệu Quang Phục Tỉnh Hưng Yên	https://www.google.com/maps/search/?api=1&query=Bia+Th%C3%A0nh+B%E1%BA%BFp+Tri%E1%BB%87u+Quang+Ph%E1%BB%A5c+T%E1%BB%89nh+H%C6%B0ng+Y%C3%AAn
ANH NGHĨA	Mặt biển		Tỉnh Thanh Hóa	Thanh Hóa	Mặt biển Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=ANH+NGH%C4%A8A+M%E1%BA%B7t+bi%E1%BB%83n+T%E1%BB%89nh+Thanh+H%C3%B3a
BÃI ĐÁ	Mặt biển		Tỉnh Thanh Hóa	Thanh Hóa	Mặt biển Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=B%C3%83I+%C4%90%C3%81+M%E1%BA%B7t+bi%E1%BB%83n+T%E1%BB%89nh+Thanh+H%C3%B3a
Bia Bình An CS2	33 LK16 dọc bún 2 La Khê	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	33 LK16 dọc bún 2 La Khê Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Bia+B%C3%ACnh+An+CS2+33+LK16+d%E1%BB%8Dc+b%C3%BAn+2+La+Kh%C3%AA+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Beer Mít	. Lê Công Thanh	Lê Công Thanh	Tỉnh Hà Nam	Hà Nam	. Lê Công Thanh Tỉnh Hà Nam	https://www.google.com/maps/search/?api=1&query=Beer+M%C3%ADt+.+L%C3%AA+C%C3%B4ng+Thanh+T%E1%BB%89nh+H%C3%A0+Nam
Bia Cường Béo	51 Võ Chí Công	Phường Xuân Đỉnh	Thành Phố Hà Nội	Hà Nội	51 Võ Chí Công Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Bia+C%C6%B0%E1%BB%9Dng+B%C3%A9o+51+V%C3%B5+Ch%C3%AD+C%C3%B4ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Quán nhậu bờ đê	Yên Giang	Phường Quảng Yên	Tỉnh Quảng Ninh	Quảng Ninh	Yên Giang Tỉnh Quảng Ninh	https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n+nh%E1%BA%ADu+b%E1%BB%9D+%C4%91%C3%AA+Y%C3%AAn+Giang+T%E1%BB%89nh+Qu%E1%BA%A3ng+Ninh
Mây Híp	Lương Quy		Thành Phố Hải Phòng	Hải Phòng	Lương Quy Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=M%C3%A2y+H%C3%ADp+L%C6%B0%C6%A1ng+Quy+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
NH BÒ TƠ 183	22 Tô Chấn		Tỉnh Hưng Yên	Hưng Yên	22 Tô Chấn Tỉnh Hưng Yên	https://www.google.com/maps/search/?api=1&query=NH+B%C3%92+T%C6%A0+183+22+T%C3%B4+Ch%E1%BA%A5n+T%E1%BB%89nh+H%C6%B0ng+Y%C3%AAn
Sang Trọc	Lê Văn Thiêm	Phường Thanh Xuân	Thành Phố Hà Nội	Hà Nội	Lê Văn Thiêm Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Sang+Tr%E1%BB%8Dc+L%C3%AA+V%C4%83n+Thi%C3%AAm+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Quán Nam Chung	Số 1 - D1 Bạch Thái Bưởi, Tổ dân phố 5	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	Số 1 - D1 Bạch Thái Bưởi, Tổ dân phố 5 Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n+Nam+Chung+S%E1%BB%91+1+-+D1+B%E1%BA%A1ch+Th%C3%A1i+B%C6%B0%E1%BB%9Fi%2C+T%E1%BB%95+d%C3%A2n+ph%E1%BB%91+5+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Nhà Hàng Anh Vũ	KĐT Văn Quán	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	KĐT Văn Quán Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Nh%C3%A0+H%C3%A0ng+Anh+V%C5%A9+K%C4%90T+V%C4%83n+Qu%C3%A1n+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
